,Scaler,kernel,mean_test_score,std_test_score,mean_fit_time,std_fit_time,mean_score_time,std_score_time
0,SScaler,rquadratic,0.7723395445134574,0.016680022425417388,1.2740650653839112,0.02203128697238947,0.3127894878387451,0.0017232391625039466
1,SScaler,rbf,0.7695238095238095,0.02832534224296462,0.011649560928344727,0.0027418333649963807,0.0013428211212158203,3.973956413623564e-05
2,SScaler,tru,0.8097308488612835,0.03130171864472542,2.120511054992676,0.0704162141388604,0.5221933841705322,0.013562178869416713
3,SScaler,can,0.77527950310559,0.02090568368828349,2.386427307128906,0.018642127611882702,0.6189674854278564,0.023022795112379188
4,SScaler,radial_basic,0.7779710144927536,0.022793742900101485,1.7341370105743408,0.019593923395809423,0.4288536548614502,0.02220003125682978
5,SScaler,triangle,0.7752380952380952,0.014342671584488606,1.134316873550415,0.022569797182957565,0.2761660575866699,0.005635115191379455
6,SScaler,hyperbolic,0.7810351966873705,0.01604874074973726,0.586309814453125,0.009628959521097753,0.14469585418701172,0.003041577946090958
7,MMScaler,rquadratic,0.7809937888198757,0.030720172896649647,1.264953851699829,0.018251327408426783,0.31734347343444824,0.007737314185262138
8,MMScaler,rbf,0.7897308488612836,0.025865370653058516,0.006354093551635742,0.00038983518504096876,0.0013927936553955079,5.164729778419482e-05
9,MMScaler,tru,0.7895652173913044,0.03530481503351077,2.0854592323303223,0.007443458398528567,0.46784048080444335,0.10309741063534443
10,MMScaler,can,0.7780538302277433,0.056353506297940135,2.409136486053467,0.05523834309811151,0.6040012836456299,0.0075497916106683
11,MMScaler,radial_basic,0.7839337474120083,0.021640751467098235,1.7386555671691895,0.019501019197743816,0.4275354385375977,0.005730813014823177
12,MMScaler,triangle,0.7983022774327122,0.030138670203523725,1.1200584888458252,0.009354626403653156,0.26503424644470214,0.023917192617069157
13,MMScaler,hyperbolic,0.7433540372670808,0.027883702552244864,0.5821938514709473,0.013585219244550738,0.1469667911529541,0.0043278979039531726
14,NMScaler,rquadratic,0.5792132505175983,0.029899118389255464,1.3433605194091798,0.03228107753306676,0.31272120475769044,0.00807586167497561
15,NMScaler,rbf,0.5792132505175983,0.029899118389255464,1.3662376403808594,0.28444112938050037,0.0013605117797851562,0.0002137620933186525
16,NMScaler,tru,0.7117184265010352,0.019631259925606732,2.1060373306274416,0.033574595249811434,0.5225100040435791,0.009269998502644287
17,NMScaler,can,0.7491511387163561,0.046052288110689246,2.4025864601135254,0.014288663488989786,0.5980355739593506,0.009112916962459625
18,NMScaler,radial_basic,0.5878674948240166,0.02002685850063669,5.117701435089112,0.3887389080364817,0.40926346778869627,0.02912122251517401
19,NMScaler,triangle,0.7232298136645963,0.02906773311971934,1.079264259338379,0.022139570461212097,0.2633847236633301,0.004865579358839211
20,NMScaler,hyperbolic,0.5504347826086956,0.004531466342129859,0.5910624980926513,0.016690284444143905,0.14419999122619628,0.002995093343381481
